% x                      y                        z                        (V)[1/(V)]               
-0.0013                  0.0025                   0.266                    0.08957772971484897      
-0.00138                 0.00254                  0.26588                  0.0876399420812629       
-0.00151                 0.00265                  0.26579                  0.08728132384767984      
-0.00169                 0.00279                  0.2657                   0.08708834637877992      
-0.00186                 0.00292                  0.26561                  0.08676774870066563      
-0.0020                  0.0030                   0.2655                   0.08538409311473077      
-0.00228                 0.0031                   0.26518                  0.08022296042283103      
-0.00257                 0.00318                  0.26479                  0.07344560734932373      
-0.00282                 0.00324                  0.26437                  0.0660596715498165       
-0.00302                 0.00329                  0.26393                  0.058784926727383606     
-0.00315                 0.0033                   0.2635                   0.05196864462087224      
-0.00399                 0.00319                  0.25795                  -0.027413052827741594    
-0.00454                 0.00289                  0.25209                  -0.11313351506333169     
-0.0049                  0.00247                  0.24605                  -0.16750445525033134     
-0.00519                 0.00199                  0.23998                  -0.13299951558052478     
-0.0055                  0.0015                   0.234                    -0.0993322356879514      
-0.00585                 8.5E-4                   0.228                    -0.07854527924761638     
-0.00618                 0.0                      0.222                    -0.06278959549766734     
-0.00648                 -8.8E-4                  0.21601                  -0.049471618061076375    
-0.00675                 -0.00161                 0.21001                  -0.038724775938364715    
-0.0070                  -0.0020                  0.204                    -0.031023612388430974    
-0.00722                 -0.00215                 0.19801                  -0.026308442321137833    
-0.00742                 -0.00227                 0.19202                  -0.02238357593760287     
-0.00761                 -0.00237                 0.18601                  -0.018848649637806775    
-0.0078                  -0.00243                 0.18                     -0.01586160173010171     
-0.0080                  -0.00247                 0.174                    -0.013614798694291925    
-0.00808                 -0.00248                 0.17115                  -0.012805159825992568    
-0.00815                 -0.00248                 0.16826                  -0.012057507222515564    
-0.00823                 -0.00249                 0.16539                  -0.01132754257997329     
-0.00834                 -0.00249                 0.16261                  -0.01062657951389458     
-0.0085                  -0.0025                  0.16                     -0.009979026288445832    
-0.00896                 -0.00256                 0.15824                  -0.009300944719911754    
-0.00994                 -0.00271                 0.15651                  -0.007947404957642836    
-0.01124                 -0.00293                 0.15486                  -0.0067274714381264245   
-0.01266                 -0.0032                  0.15333                  -0.006302948052679295    
-0.014                   -0.0035                  0.152                    -0.005949976970308351    
-0.01586                 -0.00417                 0.15027                  -0.005511434947355439    
-0.01784                 -0.00521                 0.14867                  -0.005175588636767784    
-0.01994                 -0.00657                 0.14722                  -0.004879319768268965    
-0.02216                 -0.00818                 0.14599                  -0.004607980390699916    
-0.0245                  -0.01                    0.145                    -0.0043466948691889854   
